# peaceable queens on Z_15^2 exact exhaustive certificate
# target=21 profiles=247 estimated_A=6074753568
profile	S	fixed	r	c	d	a	relative_sign	pair_orbits	pair_hash_fnv64	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
4,8,8,8	28	DA	8	8	8	4	0	11793	84cde4b26851b806	1365	16097445	395848	1719	25527	UNSAT	0.102872
4,9,6,9	28	DA	6	9	9	4	0	14343	e97617894e2d888a	1365	19578195	3065	271	2963	UNSAT	0.113658
4,9,7,8	28	RC	4	9	8	7	0	3981	7e825e9e366f1dc2	6435	25617735	383980	1486	17016	UNSAT	0.163593
4,10,6,8	28	RC	4	10	8	6	0	2402	ef17332cf79070f2	5005	12022010	27588	171	1633	UNSAT	0.073808
4,10,7,7	28	RC	4	10	7	7	1	1614	bbfd1ea70864a272	6435	10386090	1378417	478	5220	UNSAT	0.061122
4,11,6,7	28	RC	4	11	7	6	0	1129	4b53ba0e444a0757	5005	5650645	149246	79	255	UNSAT	0.046180
5,5,7,11	28	RC	5	5	7	11	0	2655	c1c49103ced33014	1365	3624075	296845	323	1041	UNSAT	0.020321
5,5,8,10	28	RC	5	5	8	10	0	2655	c1c49103ced33014	3003	7972965	77765	1343	10511	UNSAT	0.064858
5,5,9,9	28	RC	5	5	9	9	1	1620	f7e531e7e53f5ad3	5005	8108100	7658	1596	11928	UNSAT	0.037484
5,6,6,11	28	RC	5	6	6	11	0	8633	31b329cbff467c22	1365	11784045	9515895	326	1356	UNSAT	0.162418
5,6,7,10	28	RC	5	6	7	10	0	8633	31b329cbff467c22	3003	25924899	10041733	7524	62094	UNSAT	0.242059
5,6,8,9	28	RC	5	6	8	9	0	8633	31b329cbff467c22	5005	43208165	3555836	19079	216319	UNSAT	0.292348
5,7,5,11	28	DA	5	11	7	5	0	2402	7c0412d2591ec2af	3003	7213206	586321	515	1709	UNSAT	0.065547
5,7,6,10	28	DA	6	10	7	5	0	8633	0cef8c5ffd5b7912	3003	25924899	10041733	6626	52326	UNSAT	0.247848
5,7,7,9	28	DA	7	9	7	5	0	18297	33168adf84e970e5	3003	54945891	33367389	44248	513368	UNSAT	0.667949
5,7,8,8	28	DA	8	8	7	5	0	11793	84cde4b26851b806	3003	35414379	23750426	41608	532800	UNSAT	0.434275
5,8,5,10	28	DA	5	10	8	5	0	5201	17f888870facb4ae	3003	15618603	146753	1031	8537	UNSAT	0.093523
5,8,6,9	28	DA	6	9	8	5	0	14343	e97617894e2d888a	3003	43072029	3537994	11744	142992	UNSAT	0.292279
5,8,7,8	28	DA	7	8	8	5	0	23359	a97604c366e19324	3003	70147077	11506520	43574	565110	UNSAT	0.530378
5,9,5,9	28	RC	5	9	9	5	0	8633	3290a132bf957a55	3003	25924899	17699	1357	13409	UNSAT	0.160598
5,9,6,8	28	RC	5	9	8	6	0	8633	3290a132bf957a55	5005	43208165	3555836	13183	155143	UNSAT	0.286097
5,9,7,7	28	RC	5	9	7	7	1	5257	3f2b89156728565c	6435	33828795	20605184	27883	345615	UNSAT	0.399270
5,10,6,7	28	RC	5	10	7	6	0	5201	17f888870facb4ae	5005	26031005	10084583	6514	52002	UNSAT	0.246538
5,11,6,6	28	RC	5	11	6	6	1	1614	a0112dc2d1135e26	5005	8078070	6529140	706	3232	UNSAT	0.100596
6,6,6,10	28	RC	6	6	6	10	0	7261	1595e57dac187179	3003	21804783	21231848	6497	39177	UNSAT	0.297139
6,6,7,9	28	RC	6	6	7	9	0	7261	1595e57dac187179	5005	36341305	26183290	49751	613859	UNSAT	0.457464
6,6,8,8	28	RC	6	6	8	8	1	4411	06ca83b69694c83c	6435	28384785	7015331	43808	636526	UNSAT	0.228558
6,7,6,9	28	DA	6	9	7	6	0	14343	e97617894e2d888a	5005	71786715	51755461	89096	1030290	UNSAT	0.892414
6,7,7,8	28	DA	7	8	7	6	0	23359	a97604c366e19324	5005	116911795	97612714	330497	4419963	UNSAT	1.569173
6,8,6,8	28	RC	6	8	8	6	0	18297	1f0a7941a57742e2	5005	91576485	22770350	101849	1322097	UNSAT	0.748921
6,8,7,7	28	DA	7	7	8	6	0	11793	282e1d887d70ceec	5005	59023965	19050788	116408	1642002	UNSAT	0.557383
7,7,7,7	28	RC	7	7	7	7	1	6892	6bf67401c636c96c	6435	44350020	39202576	213273	3438157	UNSAT	0.613678
3,7,9,10	29	DA	9	10	7	3	0	8633	01148cefdfc91b74	455	3928015	141882	0	0	UNSAT	0.022541
3,8,8,10	29	DA	8	10	8	3	0	11008	cb362ae4b14fc2f4	455	5008640	5788	5	35	UNSAT	0.047627
3,8,9,9	29	DA	9	9	8	3	0	7261	58757c892803b6da	455	3303755	8204	18	150	UNSAT	0.018576
3,9,7,10	29	RC	3	9	7	10	0	1374	5123845dc05d37a0	3003	4126122	148081	0	0	UNSAT	0.020593
3,9,8,9	29	RC	3	9	8	9	0	1374	5123845dc05d37a0	5005	6876870	17101	18	414	UNSAT	0.032073
3,10,7,9	29	RC	3	10	7	9	0	832	60be10b7a5417cfb	5005	4164160	150328	0	0	UNSAT	0.040333
3,10,8,8	29	RC	3	10	8	8	1	562	d5744e06d1254a54	6435	3616470	5536	0	0	UNSAT	0.017054
4,6,8,11	29	RC	4	6	8	11	0	3981	76355b44967c9bf6	1365	5434065	141980	54	162	UNSAT	0.027221
4,6,9,10	29	DA	9	10	6	4	0	8633	01148cefdfc91b74	1365	11784045	9515895	175	1219	UNSAT	0.156222
4,7,7,11	29	RC	4	7	7	11	0	5059	8919d29867480198	1365	6905535	3335119	43	143	UNSAT	0.058476
4,7,8,10	29	DA	8	10	7	4	0	11008	cb362ae4b14fc2f4	1365	15025920	10375684	2453	12709	UNSAT	0.191285
4,7,9,9	29	DA	9	9	7	4	0	7261	58757c892803b6da	1365	9911265	7339570	4080	22820	UNSAT	0.140752
4,8,6,11	29	DA	6	11	8	4	0	3981	191d5612d3ae7586	1365	5434065	141980	22	66	UNSAT	0.026998
4,8,7,10	29	DA	7	10	8	4	0	11008	3a2eea05824d8f2e	1365	15025920	2009856	2585	17207	UNSAT	0.107031
4,8,8,9	29	DA	8	9	8	4	0	18297	1a59c9576d18456f	1365	24975405	5629011	13319	113743	UNSAT	0.206496
4,9,6,10	29	DA	6	10	9	4	0	8633	0cef8c5ffd5b7912	1365	11784045	27028	470	3576	UNSAT	0.074273
4,9,7,9	29	RC	4	9	7	9	0	3981	7e825e9e366f1dc2	5005	19924905	14768241	2939	16923	UNSAT	0.237149
4,9,8,8	29	DA	8	8	9	4	0	11793	84cde4b26851b806	1365	16097445	395848	5547	53389	UNSAT	0.098702
4,10,6,9	29	RC	4	10	9	6	0	2402	ef17332cf79070f2	5005	12022010	27588	309	2207	UNSAT	0.073508
4,10,7,8	29	RC	4	10	8	7	0	2402	ef17332cf79070f2	6435	15456870	2067045	1250	9276	UNSAT	0.106668
4,11,6,8	29	RC	4	11	8	6	0	1129	4b53ba0e444a0757	5005	5650645	149246	40	154	UNSAT	0.026910
4,11,7,7	29	RC	4	11	7	7	1	822	d72f0091b3407164	6435	5289570	2554238	74	324	UNSAT	0.063849
5,5,8,11	29	RC	5	5	8	11	0	2655	c1c49103ced33014	1365	3624075	296845	111	357	UNSAT	0.019428
5,5,9,10	29	RC	5	5	9	10	0	2655	c1c49103ced33014	3003	7972965	77765	2383	16067	UNSAT	0.055546
5,6,6,12	29	RC	5	6	6	12	0	8633	31b329cbff467c22	455	3928015	141882	0	0	UNSAT	0.023320
5,6,7,11	29	RC	5	6	7	11	0	8633	31b329cbff467c22	1365	11784045	9515895	421	1791	UNSAT	0.146432
5,6,8,10	29	RC	5	6	8	10	0	8633	31b329cbff467c22	3003	25924899	10041733	14878	110286	UNSAT	0.263864
5,6,9,9	29	DA	9	9	6	5	0	7261	58757c892803b6da	3003	21804783	21231848	24476	152356	UNSAT	0.299557
5,7,6,11	29	DA	6	11	7	5	0	3981	191d5612d3ae7586	3003	11954943	9653179	719	2551	UNSAT	0.168007
5,7,7,10	29	RC	5	7	7	10	0	11008	c5e7f5c75a69b244	3003	33057024	31265714	23846	141728	UNSAT	0.451591
5,7,8,9	29	DA	8	9	7	5	0	18297	1a59c9576d18456f	3003	54945891	53437245	240013	1647937	UNSAT	0.805540
5,8,5,11	29	DA	5	11	8	5	0	2402	7c0412d2591ec2af	3003	7213206	586321	258	930	UNSAT	0.058643
5,8,6,10	29	DA	6	10	8	5	0	8633	0cef8c5ffd5b7912	3003	25924899	10041733	20886	140658	UNSAT	0.246562
5,8,7,9	29	DA	7	9	8	5	0	18297	33168adf84e970e5	3003	54945891	33367389	186995	1733973	UNSAT	0.685593
5,8,8,8	29	DA	8	8	8	5	0	11793	84cde4b26851b806	3003	35414379	23750426	189654	1889444	UNSAT	0.476279
5,9,5,10	29	DA	5	10	9	5	0	5201	17f888870facb4ae	3003	15618603	146753	2517	16515	UNSAT	0.092128
5,9,6,9	29	DA	6	9	9	5	0	14343	e97617894e2d888a	3003	43072029	3537994	36395	318631	UNSAT	0.292382
5,9,7,8	29	RC	5	9	8	7	0	8633	3290a132bf957a55	6435	55553355	33763017	151416	1394742	UNSAT	0.656513
5,10,6,8	29	RC	5	10	8	6	0	5201	17f888870facb4ae	5005	26031005	10084583	17477	113839	UNSAT	0.265726
5,10,7,7	29	RC	5	10	7	7	1	3175	ff38947d0d9692d5	6435	20431125	19314991	23351	121887	UNSAT	0.290078
5,11,6,7	29	RC	5	11	7	6	0	2402	7c0412d2591ec2af	5005	12022010	9704491	1180	5008	UNSAT	0.148747
5,12,6,6	29	RC	5	12	6	6	1	562	b16ba69922a01334	5005	2812810	101073	10	30	UNSAT	0.034071
6,6,6,11	29	RC	6	6	6	11	0	7261	1595e57dac187179	1365	9911265	7339570	691	2691	UNSAT	0.115111
6,6,7,10	29	RC	6	6	7	10	0	7261	1595e57dac187179	3003	21804783	21231848	35551	232003	UNSAT	0.308276
6,6,8,9	29	RC	6	6	8	9	0	7261	1595e57dac187179	5005	36341305	26183290	186729	1878673	UNSAT	0.489859
6,7,6,10	29	DA	6	10	7	6	0	8633	0cef8c5ffd5b7912	5005	43208165	42095618	110328	613332	UNSAT	0.617386
6,7,7,9	29	RC	6	7	7	9	0	18297	e03398f06ec6ffbc	5005	91576485	90987210	802927	6644407	UNSAT	1.370760
6,7,8,8	29	DA	8	8	7	6	0	11793	84cde4b26851b806	5005	59023965	58783024	1082220	9438542	UNSAT	0.937968
6,8,6,9	29	DA	6	9	8	6	0	14343	e97617894e2d888a	5005	71786715	51755461	404493	3719401	UNSAT	0.961292
6,8,7,8	29	DA	7	8	8	6	0	23359	a97604c366e19324	5005	116911795	97612714	1813335	18222083	UNSAT	1.831480
6,9,7,7	29	RC	6	9	7	7	1	8717	a90f560b1e5826c6	6435	56093895	55710778	612643	4731859	UNSAT	0.857545
7,7,7,8	29	RC	7	7	8	7	0	11793	282e1d887d70ceec	6435	75887955	67021397	1899924	20541410	UNSAT	1.313850
3,8,9,10	30	DA	9	10	8	3	0	8633	01148cefdfc91b74	455	3928015	141882	0	0	UNSAT	0.023021
3,9,8,10	30	RC	3	9	8	10	0	1374	5123845dc05d37a0	3003	4126122	148081	0	0	UNSAT	0.020629
3,9,9,9	30	DA	9	9	9	3	0	7261	58757c892803b6da	455	3303755	8204	18	270	UNSAT	0.018339
3,10,8,9	30	RC	3	10	8	9	0	832	60be10b7a5417cfb	5005	4164160	150328	0	0	UNSAT	0.037480
4,6,9,11	30	RC	4	6	9	11	0	3981	76355b44967c9bf6	1365	5434065	141980	4	12	UNSAT	0.026731
4,6,10,10	30	DA	10	10	6	4	0	2655	61636389a4aedc13	1365	3624075	296845	14	302	UNSAT	0.019572
4,7,8,11	30	RC	4	7	8	11	0	5059	8919d29867480198	1365	6905535	3335119	20	108	UNSAT	0.077811
4,7,9,10	30	DA	9	10	7	4	0	8633	01148cefdfc91b74	1365	11784045	9515895	518	3416	UNSAT	0.159893
4,8,7,11	30	RC	4	8	7	11	0	5059	5dbf7c9c82c1ce0c	1365	6905535	3335119	14	104	UNSAT	0.058538
4,8,8,10	30	DA	8	10	8	4	0	11008	cb362ae4b14fc2f4	1365	15025920	10375684	1730	10370	UNSAT	0.194526
